username,name,message
thenourisherbh,hamad,"hey hamad, love how you're hitting on mindset, nutrition, and movement all together for wellbeing. do you offer 1:1 coaching?"
the_fear_coach,coach,"hey, love how you're getting to the core of what holds back top performers - fear is hands down the toughest block. do you do 1:1 coaching for that?"
trainwithcoachkiy,kiy,"hey coach, love your mission of building the next generation of winners. are you still taking on new athletes for training sessions?"
coach.guillermomeza,guillermo,hey! love your whole mindset shift from zero to hero - def hit home for me. do you do 1:1 coaching too?
trainwithpj,pj,"yo pj, love how you bring that fightcamp energy man, balancing family life and training is no joke. are you doing any online coaching right now?"
iamkarendwyer,karen,"hey karen, i love how you've flipped your personal story into helping others boost their energy and balance. do you offer 1:1 coaching too?"
andreafr.coaching,andrea,"hey andrea, i love how you're straight up about helping burnt out professionals get clarity - so needed right now. do you still offer that free class?"
heyitscoachjp,jp,"hey jp, love how you're all about confidence training and reaching clients worldwide. do you still offer virtual lessons?"
therelationshipcoach.ie,annie,"hey annie, love how you weave personal growth into relationship challenges on your podcast... are you still working 1:1 with clients?"
brock.coach,brock,"brock, saw your bio and love how you're all about creating freedom while riding cross-country. do you mostly offer coaching 1:1?"
iamkarendwyer,karen,"hey karen, love how you're turning the tables on MS and giving people real tools to fight back. you still offering that MS to success"" masterclass?"""
thetransformationcoach_,greg,"hey greg, love that you're helping high achievers and career-driven parents crush their fitness goals… are you doing 1:1 coaching or more group-based?"
brandonmorgan.coach,brandon,"yo brandon, love how you're blending strength coaching with education... gotta ask, are your training programs purely in person or you offer online too?"
coach.souha,souha,"hey souha! love how you're blending physical education with pilates and taekwondo, really unique approach. do you offer online coaching programs?"
mechellelewisfreeman,mechelle,"hey mechelle, love how you're not just coaching champions but also shaping the mindset behind winning. do you do 1:1 coaching too or just teams?"
drcamcaswell,cam,"hey cam, love how you're focusing on building trust and connection with parents and teens - super important work. do you offer 1:1 support too?"
alexresiliencecoach,alex,"hey alex, love how you're empowering people to literally take back their mind in your content — feels like you've found a way to make resilience tangible. do you still offer the free resilience questions?"
_thewkcoach,coach,hey! love how you're helping keepers improve one catch at a time—no shortcuts. are you offering 1:1 sessions too?
el_coach_andres,andrés,"andrés, reading your page it's clear you've got a deep understanding that healing is the key to leveling up… did you build a program for that or are you doing 1:1?"
myselfconfidencejourney,bianca,"hey bianca, love how you're helping people break free from social anxiety in a real way. do you run 1:1 coaching or group sessions?"
howetrey,trey,"yo trey, love how you're constantly pushing that mindset of getting 1% better every day. are you still taking people for business mentorship?"
moveabroadcoach,richelle,"hey richelle, just saw your story and love how you're helping people create their dream lives abroad since 2013! do you also offer 1:1 coaching?"
coachmikechadwick,mike,"hey mike, love how you're bridging tactical performance with real science backing it - feels like you're leveling up the whole game. do you still offer 1:1 coaching?"
theflexible.dieting.coach,erik,"hey erik, love how you're keeping it sustainable for celebs and athletes—so key for long-term health. are you still doing 1:1 coaching?"
coach.samtooley,sam,"yo sam, love how you've built an entire ecosystem with alpha fit club and the garage gym. are you still taking on new clients with project alpha?"
micha.mpower,micha,"hey micha, just checked out your page—love how you're helping people beat PCOS while building real empowerment through m.powercoaching. are you doing 1:1 coaching or all group work right now?"
striking.coach,simon,"hey simon, just checked out your page man, love how you break down muay thai technique so clean. are your online tutorials 1:1 or just through the site?"
mountaineering_coach_kate,kate,hey kate! love how you're getting people stronger and faster for the mountains - super dialed in. are your training programs 1:1 or group-based?
themindsetstrengthcoach,vaughan,"hey vaughan, love how you blend life coaching with strength & conditioning - that combo is rare. you still doing 1:1 coaching?"
axellewilssens,axelle,"hey axelle, love how you're blending gut health with strength training - such a solid approach to total wellness. do you still offer 1:1 coaching?"
kieferlammi,kiefer,"yo kiefer, love how you're out here building elite athletes and pushing limits with @prvnfitness. are your coaching programs only in-person or you got online options too?"
coachrick23,rick,"yo rick, i love how you've made mittwork into an artform — your precision is next level. you only taking clients for 1:1s or do you have a program too?"
andrewpearce89,andrew,"hey andrew, i love how you focus on giving high-achievers both peace and performance - no easy balance lol. are you doing 1:1 sessions too?"
thehockeycoach,mike,"yo mike, love how you're making hockey fun and approachable while still teaching real drills. do you offer 1:1 coaching too?"
luke.grant.coach,luke,"hey luke, love how you're helping men over 30 reclaim their health and purpose - powerful stuff. do you do 1:1s as well or is it all group work?"
